"","class","tw","venue"
"1","field","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"2","field","Rising Pune Supergiant","Maharashtra Cricket Association Stadium"
"3","field","Kolkata Knight Riders","Saurashtra Cricket Association Stadium"
"4","field","Kings XI Punjab","Holkar Cricket Stadium"
"5","bat","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"6","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"7","field","Mumbai Indians","Wankhede Stadium"
"8","bat","Royal Challengers Bangalore","Holkar Cricket Stadium"
"9","field","Rising Pune Supergiant","Maharashtra Cricket Association Stadium"
"10","field","Mumbai Indians","Wankhede Stadium"
"11","field","Kolkata Knight Riders","Eden Gardens"
"12","field","Mumbai Indians","M Chinnaswamy Stadium"
"13","field","Gujarat Lions","Saurashtra Cricket Association Stadium"
"14","field","Sunrisers Hyderabad","Eden Gardens"
"15","bat","Delhi Daredevils","Feroz Shah Kotla"
"16","field","Mumbai Indians","Wankhede Stadium"
"17","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"18","bat","Delhi Daredevils","Feroz Shah Kotla"
"19","field","Kings XI Punjab","Rajiv Gandhi International Stadium, Uppal"
"20","field","Gujarat Lions","Saurashtra Cricket Association Stadium"
"21","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"22","field","Mumbai Indians","Holkar Cricket Stadium"
"23","field","Gujarat Lions","Eden Gardens"
"24","field","Delhi Daredevils","Wankhede Stadium"
"25","field","Rising Pune Supergiant","Maharashtra Cricket Association Stadium"
"26","field","Gujarat Lions","Saurashtra Cricket Association Stadium"
"27","field","Royal Challengers Bangalore","Eden Gardens"
"28","field","Mumbai Indians","Wankhede Stadium"
"29","field","Kolkata Knight Riders","Maharashtra Cricket Association Stadium"
"30","field","Gujarat Lions","M Chinnaswamy Stadium"
"31","field","Kolkata Knight Riders","Eden Gardens"
"32","field","Kings XI Punjab","Punjab Cricket Association IS Bindra Stadium, Mohali"
"33","field","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium"
"34","bat","Gujarat Lions","Saurashtra Cricket Association Stadium"
"35","field","Kings XI Punjab","Punjab Cricket Association IS Bindra Stadium, Mohali"
"36","field","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Uppal"
"37","bat","Royal Challengers Bangalore","Wankhede Stadium"
"38","field","Rising Pune Supergiant","Maharashtra Cricket Association Stadium"
"39","field","Delhi Daredevils","Feroz Shah Kotla"
"40","field","Rising Pune Supergiant","Eden Gardens"
"41","field","Delhi Daredevils","Feroz Shah Kotla"
"42","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"43","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"44","field","Delhi Daredevils","Feroz Shah Kotla"
"45","field","Kolkata Knight Riders","M Chinnaswamy Stadium"
"46","field","Gujarat Lions","Punjab Cricket Association IS Bindra Stadium, Mohali"
"47","bat","Mumbai Indians","Rajiv Gandhi International Stadium, Uppal"
"48","field","Kolkata Knight Riders","Punjab Cricket Association IS Bindra Stadium, Mohali"
"49","field","Delhi Daredevils","Green Park"
"50","field","Mumbai Indians","Wankhede Stadium"
"51","bat","Delhi Daredevils","Feroz Shah Kotla"
"52","field","Sunrisers Hyderabad","Green Park"
"53","field","Kolkata Knight Riders","Eden Gardens"
"54","field","Rising Pune Supergiant","Maharashtra Cricket Association Stadium"
"55","bat","Royal Challengers Bangalore","Feroz Shah Kotla"
"56","field","Mumbai Indians","Wankhede Stadium"
"57","field","Kolkata Knight Riders","M Chinnaswamy Stadium"
"58","field","Mumbai Indians","M Chinnaswamy Stadium"
"59","bat","Mumbai Indians","Rajiv Gandhi International Stadium, Uppal"
"60","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"61","bat","Chennai Super Kings","Punjab Cricket Association Stadium, Mohali"
"62","bat","Rajasthan Royals","Feroz Shah Kotla"
"63","bat","Mumbai Indians","Wankhede Stadium"
"64","bat","Deccan Chargers","Eden Gardens"
"65","bat","Kings XI Punjab","Sawai Mansingh Stadium"
"66","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"67","field","Mumbai Indians","MA Chidambaram Stadium, Chepauk"
"68","field","Rajasthan Royals","Rajiv Gandhi International Stadium, Uppal"
"69","field","Mumbai Indians","Punjab Cricket Association Stadium, Mohali"
"70","field","Rajasthan Royals","M Chinnaswamy Stadium"
"71","bat","Kolkata Knight Riders","MA Chidambaram Stadium, Chepauk"
"72","field","Deccan Chargers","Dr DY Patil Sports Academy"
"73","bat","Delhi Daredevils","Punjab Cricket Association Stadium, Mohali"
"74","bat","Chennai Super Kings","M Chinnaswamy Stadium"
"75","bat","Kolkata Knight Riders","Eden Gardens"
"76","field","Royal Challengers Bangalore","Feroz Shah Kotla"
"77","field","Kings XI Punjab","Rajiv Gandhi International Stadium, Uppal"
"78","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"79","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"80","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"81","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"82","field","Delhi Daredevils","Dr DY Patil Sports Academy"
"83","bat","Chennai Super Kings","Sawai Mansingh Stadium"
"84","field","Kings XI Punjab","M Chinnaswamy Stadium"
"85","field","Deccan Chargers","MA Chidambaram Stadium, Chepauk"
"86","field","Mumbai Indians","Dr DY Patil Sports Academy"
"87","field","Chennai Super Kings","Feroz Shah Kotla"
"88","bat","Kolkata Knight Riders","Eden Gardens"
"89","field","Rajasthan Royals","Sawai Mansingh Stadium"
"90","field","Mumbai Indians","M Chinnaswamy Stadium"
"91","field","Kings XI Punjab","MA Chidambaram Stadium, Chepauk"
"92","bat","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Uppal"
"93","field","Rajasthan Royals","Sawai Mansingh Stadium"
"94","bat","Royal Challengers Bangalore","Punjab Cricket Association Stadium, Mohali"
"95","bat","Kolkata Knight Riders","Eden Gardens"
"96","field","Mumbai Indians","Wankhede Stadium"
"97","field","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"98","field","Deccan Chargers","Feroz Shah Kotla"
"99","field","Mumbai Indians","Wankhede Stadium"
"100","bat","Delhi Daredevils","Feroz Shah Kotla"
"101","field","Royal Challengers Bangalore","Sawai Mansingh Stadium"
"102","field","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"103","bat","Kolkata Knight Riders","Eden Gardens"
"104","field","Delhi Daredevils","M Chinnaswamy Stadium"
"105","field","Rajasthan Royals","Eden Gardens"
"106","field","Mumbai Indians","Wankhede Stadium"
"107","bat","Royal Challengers Bangalore","MA Chidambaram Stadium, Chepauk"
"108","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"109","field","Delhi Daredevils","Feroz Shah Kotla"
"110","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"111","field","Deccan Chargers","M Chinnaswamy Stadium"
"112","bat","Kings XI Punjab","Eden Gardens"
"113","field","Rajasthan Royals","Sawai Mansingh Stadium"
"114","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"115","field","Delhi Daredevils","Wankhede Stadium"
"116","bat","Kings XI Punjab","Wankhede Stadium"
"117","field","Rajasthan Royals","Dr DY Patil Sports Academy"
"118","field","Chennai Super Kings","Newlands"
"119","bat","Royal Challengers Bangalore","Newlands"
"120","field","Delhi Daredevils","Newlands"
"121","bat","Kolkata Knight Riders","Newlands"
"122","bat","Chennai Super Kings","St George's Park"
"123","field","Kolkata Knight Riders","Kingsmead"
"124","bat","Deccan Chargers","Newlands"
"125","bat","Delhi Daredevils","Kingsmead"
